Profiling Cell_IA — lenia_model_step_legacy! — 256x256 — 255 pasos — 138209 muestras
Formato plano (C=true): incluye frames de C -> aquí SÍ aparece el coste de
FFTW (la convolución) y de la recolección de basura (gc).

 Count  Overhead File                    Line Function
    12         0 …r/src\julia_threads.h   328 maybe_collect
    12        12 …r/src\julia_threads.h   333 jl_gc_state_set
    12        12 C:/workdir/src\julia.h   775 jl_to_typeof
    12        12 …orkdir/src\datatype.c  1853 set_nth_field
    12        12 C:/workdir/src\julia.h  1330 jl_is_layout_opaque
    13         4 C:/workdir/src\gf.c     3011 jl_lookup_generic_
    13         0 …Ts\src\definitions.jl   282 plan_ifft
    13         0 …Ts\src\definitions.jl   282 #plan_ifft#19
    13         0 @FFTW\src\fft.jl         774 plan_bfft
    13         0 @FFTW\src\fft.jl         784 #plan_bfft#21
    13        13 C:/workdir/src\gc.c     1563 gc_sweep_page
    13         0 C:/workdir/src\gc.c     1378 ijl_gc_pool_alloc_instrumented
    13        13 …c\gc-alloc-profiler.h    42 maybe_record_alloc_to_profile
    14        14 C:/workdir/src\gf.c     3049 jl_lookup_generic_
    14        14 C:/workdir/src\gc.h      390 gc_page_data
    14        14 C:/workdir/src\julia.h  1439 jl_field_isconst
    14         0 @Base\complex.jl         299 *
    14        14 …workdir/src\subtype.c  2468 ijl_isa
    14         0 @Base\abstractarray.jl  1347 _to_linear_index
    14         0 @Base\abstractarray.jl  3048 _sub2ind
    14         0 @Base\abstractarray.jl  3064 _sub2ind
    14         0 @Base\abstractarray.jl  3080 _sub2ind_recurse
    14        14 C:/workdir/src\gc.c     1324 jl_gc_pool_alloc_inner
    14         0 …orkdir/src\datatype.c  1822 set_nth_field
    14         3 C:/workdir/src\julia.h  1394 jl_field_offset
    15         0 C:/workdir/src\julia.h  1325 jl_field_type_concrete
    15         2 C:/workdir/src\gc.c     1331 jl_gc_pool_alloc_inner
    15        15 …orkdir/src\datatype.c  1762 ijl_field_index
    15         0 C:/workdir/src\gc.c     1545 gc_sweep_page
    15        15 C:/workdir/src\gc.c     1408 gc_update_page_fragmentation_data
    16         0 …\abstractarraymath.jl   171 real(A::Matrix{ComplexF64})
    16         0 @Base\broadcast.jl       861 broadcast_preserving_zero_d
    16         0 @Base\broadcast.jl       872 materialize
    16        16 C:/workdir/src\julia.h  1641 jl_is_namedtuple_type
    16         0 …r/src\genericmemory.c    53 _new_genericmemory_
    16         0 C:/workdir/src\gc.c     4208 ijl_gc_managed_malloc
    16         0 C:/workdir/src\gc.c      237 jl_malloc_aligned
    16         0 …S\System32\msvcrt.dll     ? aligned_offset_malloc
    16        16 …S\System32\msvcrt.dll     ? memcpy
    16        16 @Base\float.jl           491 +
    16         0 …lgebra\src\generic.jl   188 rmul!
    16         0 …lgebra\src\generic.jl   189 macro expansion
    17         0 …orkdir/src\datatype.c  1751 ijl_field_index
    17        17 C:/workdir/src\julia.h  1316 jl_field_names
    17         0 …1e\bin\libfftw3-3.dll     ? fftw_mkplan_d
    17        17 C:/workdir/src\gf.c     2928 _jl_invoke
    18        18 …workdir/src\subtype.c  2518 ijl_isa
    18         3 …WS\SYSTEM32\ntdll.dll     ? RtlSetExtendedFeaturesMask
    18         6 C:/workdir/src\julia.h  1338 jl_datatype_layout
    18        18 C:/workdir/src\gf.c     3118 jl_lookup_generic_
    19        19 C:/workdir/src\gf.c     3030 jl_lookup_generic_
    19        19 C:/workdir/src\gc.c     1363 jl_gc_pool_alloc_inner
    19         1 …1e\bin\libfftw3-3.dll     ? mkplan
    19        19 …orkdir/src\datatype.c  1821 set_nth_field
    20        20 C:/workdir/src\gf.c     3128 ijl_apply_generic
    20        20 C:/workdir/src\gc.c     1380 ijl_gc_pool_alloc_instrumented
    20        20 C:/workdir/src\gc.c     1505 gc_sweep_page
    20         0 @Base\dict.jl            714 iterate
    20         8 …orkdir/src\datatype.c  1827 set_nth_field
    20         0 …1e\bin\libfftw3-3.dll     ? fftw_mkapiplan
    20        20 C:/workdir/src\gf.c     2966 sig_match_fast
    22        22 …orkdir/src\builtins.c  1068 jl_f_setfield
    22         0 …orkdir/src\builtins.c  1005 get_checked_fieldindex
    22         1 …WS\SYSTEM32\ntdll.dll     ? RtlAllocateHeap
    23         0 …orkdir/src\datatype.c  1739 ijl_field_index
    23         0 @FFTW\src\FFTW.jl         90 (FFTW.cFFTWPlan{ComplexF64, 1, fa…
    23         0 @FFTW\src\fft.jl         654 macro expansion
    23         1 …S\System32\msvcrt.dll     ? malloc
    23        23 …1e\bin\libfftw3-3.dll     ? fftw_cpy2d
    24        24 C:/workdir/src\gf.c     3121 ijl_apply_generic
    24         1 …1e\bin\libfftw3-3.dll     ? dotile_buf
    25        25 C:/workdir/src\gc.c     1836 gc_sweep_pool
    25        25 …workdir/src\subtype.c  2467 ijl_isa
    25         0 …1e\bin\libfftw3-3.dll     ? apply_tiledbuf
    25         0 …1e\bin\libfftw3-3.dll     ? fftw_cpy2d_tiledbuf
    27        27 @Base\int.jl              86 -
    27        27 @Base\float.jl           493 *
    27        27 …orkdir/src\datatype.c  1738 ijl_field_index
    28         0 C:/workdir/src\gc.c     1707 gc_sweep_pool_parallel
    28        28 C:/workdir/src\gc.c     1310 jl_gc_pool_alloc_inner
    30         0 @Base\abstractarray.jl   681 checkbounds
    30         0 @Base\abstractarray.jl   725 checkbounds_indices
    30         0 @Base\abstractarray.jl   754 checkindex
    30         0 C:/workdir/src\gc.c     1807 gc_sweep_pool
    30        30 C:/workdir/src\gc.c     1376 ijl_gc_pool_alloc_instrumented
    30        30 @Base\Base.jl             50 setproperty!(x::Main.UniversalAge…
    30        30 …1e\bin\libfftw3-3.dll     ? fftw_cpy2d_pair_ci
    31         0 @Base\intfuncs.jl       1268 clamp
    31        31 @Base\float.jl           618 <
    31         0 C:/workdir/src\gf.c     3127 ijl_apply_generic
    32        32 …rkdir/src\threading.c   199 ijl_get_pgcstack
    33         0 @Base\array.jl           993 setindex!
    34         0 @Base\broadcast.jl       644 _broadcast_getindex
    34         0 …e\multidimensional.jl   702 getindex
    34         0 @Base\array.jl           930 getindex
    34        34 @Base\essentials.jl      917 getindex
    34         0 @Base\dict.jl            688 skip_deleted
    34        24 @Base\range.jl           908 iterate
    35         0 @Base\operators.jl       379 >
    36         6 @Base\abstractarray.jl   699 checkbounds
    36        36 …rkdir/src\threading.c   204 ijl_get_pgcstack
    36        36 …orkdir/src\datatype.c  1753 ijl_field_index
    39        39 @Base\genericmemory.jl   245 setindex!
    39        34 @Base\dict.jl            685 skip_deleted
    39        39 C:/workdir/src\gf.c     3001 jl_lookup_generic_
    40         6 @Base\dict.jl            711 iterate
    40         8 …orkdir/src\builtins.c  1062 jl_f_setfield
    44         0 @Base\dict.jl            713 iterate
    44        44 …System32\KERNEL32.DLL     ? TlsGetValue
    45        11 …orkdir/src\builtins.c   564 jl_f_isa
    46         0 …Ts\src\definitions.jl    54 copy1(::Type{ComplexF64}, x::Matr…
    46         0 …e\multidimensional.jl  1303 circcopy!
    46         0 @Base\array.jl           319 copyto!
    46         0 @Base\array.jl           294 copyto!
    46         0 @Base\array.jl           308 _copyto_impl!
    46         0 @Base\genericmemory.jl   133 unsafe_copyto!
    46         0 @Base\genericmemory.jl   153 unsafe_copyto!(dest::Memory{Compl…
    46        14 @Base\special\exp.jl     329 exp(x::Float64)
    50        10 …orkdir/src\datatype.c  1754 ijl_field_index
    55        55 C:/workdir/src\julia.h  1118 jl_svecref
    56         0 …e\multidimensional.jl   704 setindex!
    57        13 …rkdir/src\threading.c   201 ijl_get_pgcstack
    57         0 …WS\SYSTEM32\ntdll.dll     ? RtlProtectHeap
    57        57 …WS\SYSTEM32\ntdll.dll     ? NtFreeVirtualMemory
    58         0 C:/workdir/src\gc.c     1252 sweep_malloced_memory
    58         0 C:/workdir/src\gc.c     1225 jl_gc_free_memory
    58         0 C:/workdir/src\gc.c      247 jl_free_aligned
    58         0 …S\System32\msvcrt.dll     ? aligned_free
    58         0 C:/workdir/src\gc.c     1640 gc_sweep_prescan
    60         0 C:/workdir/src\gc.c     3642 _jl_gc_collect
    60         0 C:/workdir/src\gc.c     1580 gc_sweep_other
    60         0 …S\System32\msvcrt.dll     ? free
    60         0 …WS\SYSTEM32\ntdll.dll     ? RtlFreeHeap
    60         0 …Ts\src\definitions.jl    53 copy1(::Type{ComplexF64}, x::Matr…
    61         0 C:/workdir/src\gc.c     1806 gc_sweep_pool
    61         0 C:/workdir/src\gc.c     1661 gc_sweep_wake_all
